        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 700.00 keV   9.560E+02  1.248E+02    7698 A      1273 A      1297 A   
 800.00 keV   1.060E+03  1.140E+02    8542 A      1340 A      1398 A   
 900.00 keV   1.162E+03  1.052E+02    9325 A      1395 A      1486 A   
   1.00 MeV   1.260E+03  9.776E+01    1.01 um     1442 A      1562 A   
   1.10 MeV   1.354E+03  9.142E+01    1.07 um     1481 A      1629 A   
   1.20 MeV   1.444E+03  8.595E+01    1.14 um     1515 A      1689 A   
   1.30 MeV   1.530E+03  8.116E+01    1.20 um     1545 A      1743 A   
   1.40 MeV   1.613E+03  7.694E+01    1.26 um     1571 A      1792 A   
   1.50 MeV   1.691E+03  7.318E+01    1.32 um     1595 A      1836 A   
   1.60 MeV   1.767E+03  6.981E+01    1.37 um     1616 A      1876 A   
   1.70 MeV   1.840E+03  6.677E+01    1.42 um     1634 A      1914 A   
   1.80 MeV   1.909E+03  6.401E+01    1.47 um     1652 A      1948 A   
   2.00 MeV   2.041E+03  5.918E+01    1.57 um     1685 A      2009 A   
   2.25 MeV   2.192E+03  5.418E+01    1.68 um     1720 A      2076 A   
   2.50 MeV   2.331E+03  5.002E+01    1.79 um     1751 A      2133 A   
   2.75 MeV   2.460E+03  4.652E+01    1.89 um     1777 A      2183 A   
   3.00 MeV   2.580E+03  4.351E+01    1.99 um     1799 A      2227 A   
   3.25 MeV   2.692E+03  4.091E+01    2.08 um     1819 A      2266 A   
   3.50 MeV   2.797E+03  3.862E+01    2.17 um     1837 A      2302 A   
   3.75 MeV   2.895E+03  3.660E+01    2.25 um     1853 A      2335 A   
   4.00 MeV   2.988E+03  3.480E+01    2.34 um     1868 A      2365 A   
   4.50 MeV   3.157E+03  3.173E+01    2.50 um     1901 A      2418 A   
   5.00 MeV   3.308E+03  2.919E+01    2.65 um     1929 A      2464 A   
   5.50 MeV   3.443E+03  2.706E+01    2.79 um     1954 A      2505 A   
   6.00 MeV   3.563E+03  2.524E+01    2.94 um     1976 A      2542 A   
   6.50 MeV   3.670E+03  2.367E+01    3.07 um     1997 A      2575 A   
   7.00 MeV   3.765E+03  2.230E+01    3.20 um     2015 A      2606 A   
   8.00 MeV   3.926E+03  2.002E+01    3.46 um     2065 A      2660 A   
