        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.75 MeV   2.572E+03  3.113E+01    2.65 um     2265 A      2868 A   
   4.00 MeV   2.666E+03  2.959E+01    2.74 um     2281 A      2902 A   
   4.50 MeV   2.839E+03  2.696E+01    2.92 um     2315 A      2961 A   
   5.00 MeV   2.992E+03  2.479E+01    3.09 um     2344 A      3012 A   
   5.50 MeV   3.127E+03  2.297E+01    3.25 um     2370 A      3057 A   
   6.00 MeV   3.245E+03  2.142E+01    3.41 um     2393 A      3096 A   
   6.50 MeV   3.350E+03  2.008E+01    3.56 um     2414 A      3132 A   
   7.00 MeV   3.441E+03  1.891E+01    3.70 um     2433 A      3164 A   
   8.00 MeV   3.591E+03  1.697E+01    3.98 um     2483 A      3222 A   
   9.00 MeV   3.706E+03  1.541E+01    4.26 um     2527 A      3272 A   
  10.00 MeV   3.795E+03  1.414E+01    4.52 um     2568 A      3317 A   
  11.00 MeV   3.862E+03  1.307E+01    4.78 um     2605 A      3357 A   
  12.00 MeV   3.913E+03  1.216E+01    5.04 um     2641 A      3394 A   
  13.00 MeV   3.950E+03  1.138E+01    5.29 um     2675 A      3428 A   
  14.00 MeV   3.977E+03  1.070E+01    5.54 um     2707 A      3461 A   
  15.00 MeV   3.995E+03  1.010E+01    5.79 um     2739 A      3491 A   
  16.00 MeV   4.007E+03  9.572E+00    6.04 um     2769 A      3520 A   
  17.00 MeV   4.012E+03  9.098E+00    6.29 um     2799 A      3548 A   
  18.00 MeV   4.013E+03  8.672E+00    6.54 um     2828 A      3575 A   
  20.00 MeV   4.003E+03  7.937E+00    7.03 um     2928 A      3626 A   
  22.50 MeV   3.976E+03  7.186E+00    7.66 um     3074 A      3686 A   
  25.00 MeV   3.938E+03  6.573E+00    8.29 um     3215 A      3744 A   
  27.50 MeV   3.894E+03  6.062E+00    8.92 um     3352 A      3799 A   
  30.00 MeV   3.846E+03  5.630E+00    9.57 um     3487 A      3852 A   
  32.50 MeV   3.796E+03  5.258E+00   10.22 um     3619 A      3905 A   
  35.00 MeV   3.745E+03  4.936E+00   10.88 um     3750 A      3956 A   
  37.50 MeV   3.693E+03  4.652E+00   11.56 um     3880 A      4007 A   
  40.00 MeV   3.642E+03  4.402E+00   12.24 um     4009 A      4058 A   
  45.00 MeV   3.542E+03  3.978E+00   13.63 um     4486 A      4159 A   
  50.00 MeV   3.445E+03  3.633E+00   15.06 um     4940 A      4260 A   
  55.00 MeV   3.359E+03  3.346E+00   16.52 um     5377 A      4361 A   
  60.00 MeV   3.285E+03  3.103E+00   18.03 um     5799 A      4464 A   
  65.00 MeV   3.191E+03  2.895E+00   19.57 um     6214 A      4568 A   
  70.00 MeV   3.108E+03  2.715E+00   21.16 um     6623 A      4674 A   
  80.00 MeV   2.956E+03  2.417E+00   24.45 um     8129 A      4893 A   
  90.00 MeV   2.821E+03  2.181E+00   27.91 um     9516 A      5121 A   
 100.00 MeV   2.699E+03  1.989E+00   31.53 um     1.08 um     5359 A   
 110.00 MeV   2.589E+03  1.830E+00   35.31 um     1.21 um     5608 A   
 120.00 MeV   2.489E+03  1.696E+00   39.25 um     1.34 um     5867 A   
 130.00 MeV   2.398E+03  1.581E+00   43.34 um     1.46 um     6137 A   
 140.00 MeV   2.313E+03  1.481E+00   47.59 um     1.58 um     6417 A   
 150.00 MeV   2.236E+03  1.394E+00   51.98 um     1.70 um     6708 A   
 160.00 MeV   2.163E+03  1.316E+00   56.52 um     1.82 um     7009 A   
 170.00 MeV   2.096E+03  1.248E+00   61.22 um     1.94 um     7320 A   
 180.00 MeV   2.033E+03  1.186E+00   66.06 um     2.06 um     7641 A   
 200.00 MeV   1.919E+03  1.081E+00   76.18 um     2.51 um     8314 A   
 225.00 MeV   1.794E+03  9.738E-01   89.65 um     3.16 um     9210 A   
 250.00 MeV   1.684E+03  8.869E-01  104.03 um     3.76 um     1.02 um  
 275.00 MeV   1.587E+03  8.149E-01  119.32 um     4.35 um     1.12 um  
 300.00 MeV   1.500E+03  7.542E-01  135.53 um     4.92 um     1.23 um  
 325.00 MeV   1.421E+03  7.023E-01  152.65 um     5.49 um     1.34 um  
 350.00 MeV   1.351E+03  6.574E-01  170.68 um     6.06 um     1.46 um  
 375.00 MeV   1.286E+03  6.181E-01  189.64 um     6.64 um     1.58 um  
 400.00 MeV   1.228E+03  5.835E-01  209.53 um     7.21 um     1.71 um  
 450.00 MeV   1.125E+03  5.251E-01  252.08 um     9.41 um     1.99 um  
 500.00 MeV   1.038E+03  4.778E-01  298.35 um    11.48 um     2.29 um  
 550.00 MeV   9.647E+02  4.387E-01  348.31 um    13.49 um     2.61 um  
 600.00 MeV   9.028E+02  4.057E-01  401.88 um    15.49 um     2.96 um  
 650.00 MeV   8.506E+02  3.776E-01  458.93 um    17.48 um     3.32 um  
 700.00 MeV   8.071E+02  3.532E-01  519.26 um    19.47 um     3.71 um  
 800.00 MeV   7.421E+02  3.132E-01  648.46 um    26.74 um     4.54 um  
 900.00 MeV   6.812E+02  2.816E-01  789.10 um    33.36 um     5.43 um  
   1.00 GeV   6.284E+02  2.561E-01  941.94 um    39.78 um     6.38 um  
   1.10 GeV   5.841E+02  2.350E-01    1.11 mm    46.16 um     7.41 um  
   1.20 GeV   5.465E+02  2.172E-01    1.28 mm    52.55 um     8.50 um  
   1.30 GeV   5.140E+02  2.020E-01    1.47 mm    58.98 um     9.66 um  
   1.40 GeV   4.857E+02  1.889E-01    1.67 mm    65.47 um    10.89 um  
