        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 225.00 keV   1.177E+02  1.344E-01    1.69 um     1170 A      1629 A   
 250.00 keV   1.122E+02  1.233E-01    1.91 um     1246 A      1738 A   
 275.00 keV   1.072E+02  1.140E-01    2.13 um     1324 A      1851 A   
 300.00 keV   1.027E+02  1.061E-01    2.37 um     1403 A      1968 A   
 325.00 keV   9.863E+01  9.932E-02    2.61 um     1485 A      2089 A   
 350.00 keV   9.491E+01  9.340E-02    2.87 um     1569 A      2214 A   
 375.00 keV   9.151E+01  8.819E-02    3.14 um     1654 A      2343 A   
 400.00 keV   8.840E+01  8.358E-02    3.41 um     1741 A      2476 A   
 450.00 keV   8.291E+01  7.574E-02    3.99 um     2005 A      2755 A   
 500.00 keV   7.820E+01  6.933E-02    4.61 um     2268 A      3050 A   
 550.00 keV   7.412E+01  6.399E-02    5.26 um     2532 A      3359 A   
 600.00 keV   7.055E+01  5.946E-02    5.95 um     2797 A      3684 A   
 650.00 keV   6.739E+01  5.557E-02    6.67 um     3064 A      4022 A   
 700.00 keV   6.457E+01  5.218E-02    7.42 um     3334 A      4373 A   
 800.00 keV   5.978E+01  4.658E-02    9.02 um     4195 A      5115 A   
 900.00 keV   5.584E+01  4.213E-02   10.74 um     5017 A      5904 A   
   1.00 MeV   5.256E+01  3.850E-02   12.57 um     5820 A      6736 A   
   1.10 MeV   5.014E+01  3.548E-02   14.51 um     6609 A      7606 A   
   1.20 MeV   4.776E+01  3.292E-02   16.54 um     7389 A      8509 A   
   1.30 MeV   4.544E+01  3.073E-02   18.68 um     8170 A      9449 A   
   1.40 MeV   4.337E+01  2.883E-02   20.92 um     8959 A      1.04 um  
   1.50 MeV   4.151E+01  2.716E-02   23.27 um     9756 A      1.14 um  
   1.60 MeV   3.980E+01  2.568E-02   25.71 um     1.06 um     1.25 um  
   1.70 MeV   3.824E+01  2.437E-02   28.27 um     1.14 um     1.36 um  
   1.80 MeV   3.680E+01  2.319E-02   30.92 um     1.22 um     1.47 um  
   2.00 MeV   3.424E+01  2.116E-02   36.53 um     1.50 um     1.70 um  
   2.25 MeV   3.153E+01  1.910E-02   44.11 um     1.89 um     2.02 um  
