       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 110.00 keV   2.991E+02  1.412E+02    2094 A       624 A       517 A   
 120.00 keV   3.114E+02  1.347E+02    2289 A       663 A       556 A   
 130.00 keV   3.246E+02  1.289E+02    2482 A       700 A       594 A   
 140.00 keV   3.386E+02  1.237E+02    2673 A       736 A       632 A   
 150.00 keV   3.531E+02  1.189E+02    2861 A       769 A       668 A   
 160.00 keV   3.678E+02  1.145E+02    3046 A       800 A       703 A   
 170.00 keV   3.828E+02  1.105E+02    3228 A       830 A       737 A   
 180.00 keV   3.978E+02  1.068E+02    3407 A       858 A       770 A   
 200.00 keV   4.277E+02  1.002E+02    3754 A       909 A       832 A   
 225.00 keV   4.643E+02  9.321E+01    4169 A       967 A       904 A   
 250.00 keV   4.997E+02  8.723E+01    4567 A      1017 A       970 A   
 275.00 keV   5.338E+02  8.207E+01    4948 A      1062 A      1031 A   
 300.00 keV   5.664E+02  7.756E+01    5313 A      1101 A      1087 A   
 325.00 keV   5.977E+02  7.358E+01    5666 A      1137 A      1138 A   
 350.00 keV   6.277E+02  7.004E+01    6006 A      1169 A      1186 A   
 375.00 keV   6.566E+02  6.687E+01    6334 A      1199 A      1230 A   
 400.00 keV   6.844E+02  6.401E+01    6653 A      1226 A      1271 A   
 450.00 keV   7.374E+02  5.905E+01    7264 A      1274 A      1346 A   
 500.00 keV   7.873E+02  5.488E+01    7843 A      1316 A      1413 A   
 550.00 keV   8.347E+02  5.132E+01    8395 A      1353 A      1473 A   
 600.00 keV   8.802E+02  4.825E+01    8922 A      1385 A      1527 A   
 650.00 keV   9.240E+02  4.556E+01    9428 A      1413 A      1576 A   
 700.00 keV   9.665E+02  4.319E+01    9915 A      1438 A      1620 A   
 800.00 keV   1.048E+03  3.919E+01    1.08 um     1484 A      1699 A   
 900.00 keV   1.127E+03  3.593E+01    1.17 um     1523 A      1767 A   
   1.00 MeV   1.202E+03  3.322E+01    1.25 um     1555 A      1826 A   
   1.10 MeV   1.276E+03  3.093E+01    1.33 um     1582 A      1878 A   
   1.20 MeV   1.347E+03  2.896E+01    1.40 um     1606 A      1925 A   
   1.30 MeV   1.415E+03  2.726E+01    1.47 um     1627 A      1966 A   
   1.40 MeV   1.482E+03  2.576E+01    1.54 um     1646 A      2003 A   
   1.50 MeV   1.547E+03  2.443E+01    1.60 um     1662 A      2037 A   
   1.60 MeV   1.609E+03  2.324E+01    1.66 um     1677 A      2068 A   
   1.70 MeV   1.669E+03  2.218E+01    1.72 um     1690 A      2097 A   
   1.80 MeV   1.727E+03  2.121E+01    1.78 um     1703 A      2123 A   
   2.00 MeV   1.837E+03  1.954E+01    1.89 um     1728 A      2170 A   
   2.25 MeV   1.961E+03  1.781E+01    2.02 um     1756 A      2220 A   
   2.50 MeV   2.071E+03  1.638E+01    2.14 um     1780 A      2264 A   
   2.75 MeV   2.169E+03  1.519E+01    2.26 um     1800 A      2302 A   
   3.00 MeV   2.255E+03  1.417E+01    2.37 um     1819 A      2336 A   
   3.25 MeV   2.329E+03  1.329E+01    2.48 um     1835 A      2367 A   
   3.50 MeV   2.394E+03  1.252E+01    2.58 um     1851 A      2395 A   
   3.75 MeV   2.449E+03  1.184E+01    2.68 um     1865 A      2420 A   
   4.00 MeV   2.496E+03  1.124E+01    2.78 um     1878 A      2444 A   
   4.50 MeV   2.570E+03  1.021E+01    2.98 um     1911 A      2487 A   
   5.00 MeV   2.621E+03  9.367E+00    3.17 um     1942 A      2526 A   
   5.50 MeV   2.655E+03  8.662E+00    3.36 um     1971 A      2561 A   
   6.00 MeV   2.675E+03  8.063E+00    3.54 um     1999 A      2594 A   
   6.50 MeV   2.686E+03  7.547E+00    3.73 um     2025 A      2624 A   
   7.00 MeV   2.689E+03  7.098E+00    3.91 um     2051 A      2653 A   
   8.00 MeV   2.681E+03  6.352E+00    4.29 um     2132 A      2707 A   
   9.00 MeV   2.660E+03  5.757E+00    4.66 um     2211 A      2758 A   
  10.00 MeV   2.632E+03  5.270E+00    5.03 um     2288 A      2805 A   
  11.00 MeV   2.600E+03  4.864E+00    5.42 um     2363 A      2851 A   
  12.00 MeV   2.567E+03  4.520E+00    5.80 um     2437 A      2895 A   
  13.00 MeV   2.533E+03  4.225E+00    6.19 um     2511 A      2939 A   
  14.00 MeV   2.500E+03  3.968E+00    6.59 um     2584 A      2981 A   
  15.00 MeV   2.468E+03  3.742E+00    6.99 um     2657 A      3023 A   
  16.00 MeV   2.436E+03  3.542E+00    7.40 um     2729 A      3065 A   
  17.00 MeV   2.406E+03  3.364E+00    7.81 um     2802 A      3106 A   
  18.00 MeV   2.377E+03  3.204E+00    8.23 um     2874 A      3147 A   
  20.00 MeV   2.321E+03  2.928E+00    9.08 um     3135 A      3229 A   
  22.50 MeV   2.258E+03  2.647E+00   10.17 um     3516 A      3332 A   
  25.00 MeV   2.201E+03  2.418E+00   11.29 um     3877 A      3435 A   
  27.50 MeV   2.147E+03  2.227E+00   12.43 um     4224 A      3539 A   
  30.00 MeV   2.098E+03  2.066E+00   13.61 um     4559 A      3644 A   
  32.50 MeV   2.052E+03  1.928E+00   14.81 um     4886 A      3750 A   
  35.00 MeV   2.008E+03  1.808E+00   16.04 um     5205 A      3858 A   
  37.50 MeV   1.967E+03  1.703E+00   17.30 um     5518 A      3967 A   
  40.00 MeV   1.936E+03  1.610E+00   18.58 um     5826 A      4078 A   
  45.00 MeV   1.862E+03  1.453E+00   21.21 um     6945 A      4304 A   
  50.00 MeV   1.789E+03  1.325E+00   23.95 um     7981 A      4536 A   
  55.00 MeV   1.723E+03  1.220E+00   26.79 um     8968 A      4776 A   
  60.00 MeV   1.662E+03  1.130E+00   29.75 um     9921 A      5024 A   
  65.00 MeV   1.605E+03  1.053E+00   32.80 um     1.09 um     5279 A   
  70.00 MeV   1.552E+03  9.871E-01   35.97 um     1.18 um     5541 A   
  80.00 MeV   1.454E+03  8.778E-01   42.62 um     1.51 um     6090 A   
  90.00 MeV   1.367E+03  7.912E-01   49.71 um     1.82 um     6671 A   
 100.00 MeV   1.288E+03  7.209E-01   57.24 um     2.11 um     7284 A   
 110.00 MeV   1.217E+03  6.627E-01   65.23 um     2.40 um     7930 A   
 120.00 MeV   1.153E+03  6.135E-01   73.66 um     2.69 um     8609 A   
 130.00 MeV   1.094E+03  5.715E-01   82.56 um     2.97 um     9322 A   
 140.00 MeV   1.041E+03  5.351E-01   91.93 um     3.26 um     1.01 um  
 150.00 MeV   9.914E+02  5.033E-01  101.77 um     3.55 um     1.09 um  
 160.00 MeV   9.463E+02  4.752E-01  112.09 um     3.84 um     1.17 um  
 170.00 MeV   9.048E+02  4.502E-01  122.90 um     4.14 um     1.25 um  
 180.00 MeV   8.665E+02  4.279E-01  134.19 um     4.45 um     1.34 um  
 200.00 MeV   7.984E+02  3.895E-01  158.23 um     5.61 um     1.53 um  
 225.00 MeV   7.265E+02  3.506E-01  191.05 um     7.30 um     1.79 um  
 250.00 MeV   6.665E+02  3.191E-01  226.97 um     8.91 um     2.07 um  
 275.00 MeV   6.159E+02  2.930E-01  265.98 um    10.50 um     2.37 um  
 300.00 MeV   5.730E+02  2.710E-01  308.06 um    12.08 um     2.70 um  
 325.00 MeV   5.363E+02  2.522E-01  353.15 um    13.68 um     3.05 um  
 350.00 MeV   5.047E+02  2.360E-01  401.19 um    15.30 um     3.43 um  
 375.00 MeV   4.773E+02  2.218E-01  452.12 um    16.93 um     3.82 um  
 400.00 MeV   4.534E+02  2.093E-01  505.85 um    18.58 um     4.24 um  
 450.00 MeV   4.139E+02  1.882E-01  621.26 um    24.78 um     5.14 um  
 500.00 MeV   3.828E+02  1.711E-01  746.86 um    30.53 um     6.11 um  
 550.00 MeV   3.577E+02  1.570E-01  881.98 um    36.07 um     7.15 um  
 600.00 MeV   3.349E+02  1.451E-01    1.03 mm    41.50 um     8.26 um  
 650.00 MeV   3.141E+02  1.350E-01    1.18 mm    46.93 um     9.43 um  
 700.00 MeV   2.961E+02  1.263E-01    1.34 mm    52.41 um    10.68 um  
 800.00 MeV   2.662E+02  1.119E-01    1.70 mm    72.81 um    13.37 um  
 900.00 MeV   2.424E+02  1.005E-01    2.09 mm    91.77 um    16.33 um  
   1.00 GeV   2.231E+02  9.135E-02    2.52 mm   110.22 um    19.53 um  
   1.10 GeV   2.070E+02  8.377E-02    2.99 mm   128.51 um    22.99 um  
   1.20 GeV   1.934E+02  7.740E-02    3.49 mm   146.81 um    26.68 um  
   1.30 GeV   1.817E+02  7.196E-02    4.02 mm   165.22 um    30.60 um  
   1.40 GeV   1.716E+02  6.726E-02    4.59 mm   183.76 um    34.74 um  
   1.50 GeV   1.628E+02  6.316E-02    5.19 mm   202.48 um    39.10 um  
   1.60 GeV   1.550E+02  5.955E-02    5.82 mm   221.38 um    43.67 um  
   1.70 GeV   1.480E+02  5.634E-02    6.48 mm   240.47 um    48.45 um  
   1.80 GeV   1.418E+02  5.348E-02    7.17 mm   259.73 um    53.42 um  
   2.00 GeV   1.311E+02  4.857E-02    8.63 mm   332.81 um    63.95 um  
   2.25 GeV   1.203E+02  4.361E-02   10.62 mm   436.41 um    78.12 um  
   2.50 GeV   1.116E+02  3.960E-02   12.78 mm   533.06 um    93.37 um  
   2.75 GeV   1.043E+02  3.629E-02   15.10 mm   626.31 um   109.61 um  
   3.00 GeV   9.824E+01  3.351E-02   17.57 mm   717.68 um   126.78 um  
   3.25 GeV   9.305E+01  3.113E-02   20.18 mm   807.96 um   144.83 um  
   3.50 GeV   8.858E+01  2.909E-02   22.94 mm   897.55 um   163.69 um  
   3.75 GeV   8.469E+01  2.730E-02   25.82 mm   986.69 um   183.32 um  
   4.00 GeV   8.126E+01  2.573E-02   28.84 mm     1.08 mm   203.67 um  
   4.50 GeV   7.553E+01  2.309E-02   35.22 mm     1.41 mm   246.38 um  
   5.00 GeV   7.092E+01  2.095E-02   42.05 mm     1.71 mm   291.49 um  
   5.50 GeV   6.714E+01  1.919E-02   49.30 mm     1.99 mm   338.70 um  
   6.00 GeV   6.398E+01  1.772E-02   56.92 mm     2.27 mm   387.78 um  
   6.50 GeV   6.131E+01  1.646E-02   64.91 mm     2.53 mm   438.49 um  
   7.00 GeV   5.903E+01  1.537E-02   73.22 mm     2.79 mm   490.65 um  
   8.00 GeV   5.533E+01  1.359E-02   90.71 mm     3.74 mm   598.65 um  
   9.00 GeV   5.249E+01  1.219E-02  109.27 mm     4.57 mm   710.56 um  
  10.00 GeV   5.024E+01  1.105E-02  128.75 mm     5.34 mm   825.42 um  
