        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 120.00 keV   2.409E+02  2.443E+02    1927 A       617 A       476 A   
 130.00 keV   2.487E+02  2.350E+02    2102 A       660 A       513 A   
 140.00 keV   2.566E+02  2.265E+02    2278 A       701 A       550 A   
 150.00 keV   2.647E+02  2.187E+02    2455 A       741 A       587 A   
 160.00 keV   2.731E+02  2.115E+02    2632 A       781 A       624 A   
 170.00 keV   2.816E+02  2.048E+02    2810 A       819 A       661 A   
 180.00 keV   2.904E+02  1.986E+02    2987 A       856 A       697 A   
 200.00 keV   3.085E+02  1.875E+02    3340 A       928 A       769 A   
 225.00 keV   3.321E+02  1.755E+02    3777 A      1011 A       856 A   
 250.00 keV   3.565E+02  1.651E+02    4205 A      1088 A       939 A   
 275.00 keV   3.814E+02  1.561E+02    4624 A      1158 A      1019 A   
 300.00 keV   4.068E+02  1.481E+02    5033 A      1223 A      1096 A   
 325.00 keV   4.324E+02  1.410E+02    5431 A      1283 A      1168 A   
 350.00 keV   4.581E+02  1.347E+02    5818 A      1338 A      1237 A   
 375.00 keV   4.840E+02  1.290E+02    6193 A      1388 A      1302 A   
 400.00 keV   5.098E+02  1.238E+02    6559 A      1435 A      1363 A   
 450.00 keV   5.613E+02  1.148E+02    7258 A      1519 A      1477 A   
 500.00 keV   6.124E+02  1.071E+02    7919 A      1591 A      1579 A   
 550.00 keV   6.629E+02  1.005E+02    8545 A      1654 A      1671 A   
 600.00 keV   7.126E+02  9.480E+01    9139 A      1709 A      1754 A   
 650.00 keV   7.615E+02  8.977E+01    9705 A      1757 A      1830 A   
 700.00 keV   8.097E+02  8.531E+01    1.02 um     1799 A      1899 A   
 800.00 keV   9.035E+02  7.774E+01    1.13 um     1874 A      2020 A   
 900.00 keV   9.940E+02  7.154E+01    1.22 um     1934 A      2122 A   
   1.00 MeV   1.081E+03  6.635E+01    1.31 um     1984 A      2210 A   
   1.10 MeV   1.166E+03  6.194E+01    1.39 um     2026 A      2287 A   
   1.20 MeV   1.248E+03  5.814E+01    1.46 um     2062 A      2355 A   
   1.30 MeV   1.327E+03  5.482E+01    1.53 um     2093 A      2414 A   
   1.40 MeV   1.403E+03  5.190E+01    1.60 um     2121 A      2468 A   
   1.50 MeV   1.477E+03  4.931E+01    1.67 um     2144 A      2516 A   
   1.60 MeV   1.549E+03  4.699E+01    1.73 um     2166 A      2560 A   
   1.70 MeV   1.619E+03  4.490E+01    1.79 um     2185 A      2600 A   
   1.80 MeV   1.686E+03  4.300E+01    1.85 um     2202 A      2637 A   
   2.00 MeV   1.815E+03  3.970E+01    1.96 um     2234 A      2701 A   
   2.25 MeV   1.967E+03  3.628E+01    2.09 um     2269 A      2770 A   
   2.50 MeV   2.107E+03  3.345E+01    2.20 um     2297 A      2828 A   
   2.75 MeV   2.237E+03  3.107E+01    2.32 um     2322 A      2878 A   
   3.00 MeV   2.358E+03  2.903E+01    2.42 um     2342 A      2922 A   
