        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   3.860E+03  5.426E+01    2.90 um     2069 A      2626 A   
   7.00 MeV   4.009E+03  5.120E+01    3.02 um     2091 A      2667 A   
   8.00 MeV   4.275E+03  4.610E+01    3.26 um     2142 A      2737 A   
   9.00 MeV   4.505E+03  4.199E+01    3.48 um     2185 A      2798 A   
  10.00 MeV   4.703E+03  3.860E+01    3.70 um     2223 A      2850 A   
  11.00 MeV   4.875E+03  3.577E+01    3.90 um     2257 A      2897 A   
  12.00 MeV   5.025E+03  3.335E+01    4.10 um     2288 A      2939 A   
  13.00 MeV   5.157E+03  3.126E+01    4.30 um     2316 A      2977 A   
  14.00 MeV   5.273E+03  2.944E+01    4.49 um     2343 A      3013 A   
  15.00 MeV   5.376E+03  2.783E+01    4.68 um     2367 A      3045 A   
  16.00 MeV   5.467E+03  2.640E+01    4.86 um     2390 A      3076 A   
  17.00 MeV   5.549E+03  2.513E+01    5.04 um     2412 A      3104 A   
  18.00 MeV   5.621E+03  2.398E+01    5.22 um     2433 A      3131 A   
  20.00 MeV   5.745E+03  2.199E+01    5.57 um     2497 A      3181 A   
  22.50 MeV   5.865E+03  1.995E+01    5.99 um     2585 A      3237 A   
  25.00 MeV   5.956E+03  1.828E+01    6.42 um     2667 A      3288 A   
  27.50 MeV   6.025E+03  1.689E+01    6.83 um     2743 A      3335 A   
  30.00 MeV   6.075E+03  1.570E+01    7.24 um     2816 A      3379 A   
  32.50 MeV   6.111E+03  1.469E+01    7.65 um     2885 A      3421 A   
  35.00 MeV   6.136E+03  1.380E+01    8.06 um     2952 A      3460 A   
  37.50 MeV   6.152E+03  1.302E+01    8.46 um     3016 A      3498 A   
  40.00 MeV   6.159E+03  1.233E+01    8.87 um     3079 A      3534 A   
  45.00 MeV   6.156E+03  1.117E+01    9.68 um     3301 A      3603 A   
  50.00 MeV   6.135E+03  1.021E+01   10.49 um     3509 A      3668 A   
  55.00 MeV   6.100E+03  9.417E+00   11.31 um     3707 A      3730 A   
  60.00 MeV   6.055E+03  8.744E+00   12.13 um     3897 A      3790 A   
  65.00 MeV   6.004E+03  8.166E+00   12.96 um     4080 A      3849 A   
  70.00 MeV   5.947E+03  7.665E+00   13.79 um     4259 A      3906 A   
  80.00 MeV   5.838E+03  6.835E+00   15.49 um     4906 A      4018 A   
  90.00 MeV   5.724E+03  6.177E+00   17.21 um     5498 A      4128 A   
 100.00 MeV   5.570E+03  5.640E+00   18.98 um     6056 A      4237 A   
 110.00 MeV   5.429E+03  5.194E+00   20.80 um     6594 A      4345 A   
 120.00 MeV   5.292E+03  4.817E+00   22.66 um     7116 A      4455 A   
 130.00 MeV   5.160E+03  4.494E+00   24.57 um     7626 A      4565 A   
 140.00 MeV   5.033E+03  4.214E+00   26.53 um     8128 A      4677 A   
 150.00 MeV   4.911E+03  3.968E+00   28.54 um     8625 A      4791 A   
 160.00 MeV   4.793E+03  3.751E+00   30.60 um     9117 A      4907 A   
 170.00 MeV   4.681E+03  3.558E+00   32.71 um     9606 A      5024 A   
 180.00 MeV   4.574E+03  3.385E+00   34.87 um     1.01 um     5144 A   
 200.00 MeV   4.372E+03  3.087E+00   39.34 um     1.19 um     5391 A   
 225.00 MeV   4.143E+03  2.784E+00   45.21 um     1.46 um     5714 A   
 250.00 MeV   3.938E+03  2.538E+00   51.40 um     1.70 um     6054 A   
 275.00 MeV   3.752E+03  2.334E+00   57.90 um     1.94 um     6411 A   
 300.00 MeV   3.583E+03  2.161E+00   64.72 um     2.17 um     6785 A   
 325.00 MeV   3.429E+03  2.014E+00   71.85 um     2.39 um     7176 A   
 350.00 MeV   3.288E+03  1.886E+00   79.29 um     2.62 um     7585 A   
 375.00 MeV   3.159E+03  1.775E+00   87.04 um     2.84 um     8012 A   
 400.00 MeV   3.040E+03  1.676E+00   95.10 um     3.06 um     8456 A   
 450.00 MeV   2.829E+03  1.510E+00  112.15 um     3.90 um     9395 A   
 500.00 MeV   2.645E+03  1.375E+00  130.43 um     4.69 um     1.04 um  
 550.00 MeV   2.486E+03  1.263E+00  149.92 um     5.44 um     1.15 um  
 600.00 MeV   2.345E+03  1.169E+00  170.63 um     6.19 um     1.26 um  
 650.00 MeV   2.221E+03  1.089E+00  192.53 um     6.92 um     1.38 um  
 700.00 MeV   2.110E+03  1.019E+00  215.63 um     7.66 um     1.51 um  
 800.00 MeV   1.921E+03  9.045E-01  265.31 um    10.41 um     1.78 um  
 900.00 MeV   1.767E+03  8.140E-01  319.58 um    12.94 um     2.08 um  
   1.00 GeV   1.642E+03  7.406E-01  378.28 um    15.39 um     2.39 um  
   1.10 GeV   1.538E+03  6.799E-01  441.20 um    17.79 um     2.73 um  
   1.20 GeV   1.450E+03  6.288E-01  508.16 um    20.16 um     3.09 um  
   1.30 GeV   1.367E+03  5.851E-01  579.19 um    22.54 um     3.47 um  
   1.40 GeV   1.295E+03  5.474E-01  654.35 um    24.94 um     3.87 um  
   1.50 GeV   1.230E+03  5.144E-01  733.57 um    27.35 um     4.29 um  
   1.60 GeV   1.173E+03  4.853E-01  816.78 um    29.79 um     4.72 um  
   1.70 GeV   1.122E+03  4.595E-01  903.93 um    32.26 um     5.18 um  
   1.80 GeV   1.076E+03  4.364E-01  994.94 um    34.75 um     5.65 um  
   2.00 GeV   9.940E+02  3.968E-01    1.19 mm    44.26 um     6.65 um  
   2.25 GeV   9.079E+02  3.567E-01    1.45 mm    57.88 um     8.00 um  
   2.50 GeV   8.375E+02  3.243E-01    1.74 mm    70.71 um     9.47 um  
   2.75 GeV   7.788E+02  2.974E-01    2.05 mm    83.22 um    11.03 um  
   3.00 GeV   7.291E+02  2.748E-01    2.38 mm    95.58 um    12.70 um  
