        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 keV   1.248E+02  8.168E+02     289 A       105 A        77 A   
  32.50 keV   1.299E+02  8.123E+02     310 A       112 A        82 A   
  35.00 keV   1.348E+02  8.074E+02     332 A       119 A        87 A   
  37.50 keV   1.395E+02  8.021E+02     353 A       126 A        92 A   
  40.00 keV   1.441E+02  7.964E+02     375 A       133 A        97 A   
  45.00 keV   1.528E+02  7.847E+02     418 A       146 A       106 A   
  50.00 keV   1.611E+02  7.726E+02     463 A       160 A       116 A   
  55.00 keV   1.690E+02  7.603E+02     507 A       173 A       125 A   
  60.00 keV   1.765E+02  7.481E+02     552 A       186 A       134 A   
  65.00 keV   1.837E+02  7.361E+02     597 A       199 A       144 A   
  70.00 keV   1.907E+02  7.243E+02     643 A       213 A       153 A   
  80.00 keV   2.057E+02  7.016E+02     735 A       239 A       172 A   
  90.00 keV   2.261E+02  6.801E+02     829 A       264 A       191 A   
 100.00 keV   2.427E+02  6.598E+02     923 A       290 A       210 A   
 110.00 keV   2.565E+02  6.408E+02    1018 A       314 A       229 A   
 120.00 keV   2.683E+02  6.230E+02    1114 A       339 A       248 A   
 130.00 keV   2.787E+02  6.062E+02    1211 A       363 A       267 A   
 140.00 keV   2.880E+02  5.904E+02    1309 A       387 A       286 A   
 150.00 keV   2.966E+02  5.756E+02    1408 A       411 A       305 A   
 160.00 keV   3.046E+02  5.616E+02    1508 A       435 A       324 A   
 170.00 keV   3.121E+02  5.483E+02    1609 A       458 A       343 A   
 180.00 keV   3.194E+02  5.358E+02    1711 A       481 A       362 A   
 200.00 keV   3.330E+02  5.126E+02    1918 A       528 A       400 A   
 225.00 keV   3.490E+02  4.868E+02    2180 A       585 A       448 A   
 250.00 keV   3.643E+02  4.639E+02    2447 A       640 A       496 A   
 275.00 keV   3.790E+02  4.434E+02    2717 A       695 A       544 A   
 300.00 keV   3.935E+02  4.249E+02    2989 A       748 A       592 A   
 325.00 keV   4.077E+02  4.081E+02    3264 A       800 A       640 A   
 350.00 keV   4.217E+02  3.928E+02    3540 A       850 A       688 A   
 375.00 keV   4.356E+02  3.789E+02    3817 A       899 A       736 A   
 400.00 keV   4.494E+02  3.660E+02    4094 A       947 A       783 A   
 450.00 keV   4.767E+02  3.431E+02    4650 A      1040 A       877 A   
 500.00 keV   5.037E+02  3.234E+02    5204 A      1128 A       969 A   
 550.00 keV   5.306E+02  3.061E+02    5755 A      1211 A      1058 A   
 600.00 keV   5.572E+02  2.908E+02    6301 A      1289 A      1145 A   
 650.00 keV   5.837E+02  2.772E+02    6841 A      1363 A      1230 A   
 700.00 keV   6.099E+02  2.650E+02    7375 A      1432 A      1312 A   
 800.00 keV   6.617E+02  2.440E+02    8420 A      1562 A      1467 A   
 900.00 keV   7.126E+02  2.265E+02    9434 A      1679 A      1613 A   
   1.00 MeV   7.627E+02  2.116E+02    1.04 um     1783 A      1749 A   
   1.10 MeV   8.118E+02  1.988E+02    1.14 um     1876 A      1875 A   
   1.20 MeV   8.601E+02  1.876E+02    1.23 um     1961 A      1993 A   
   1.30 MeV   9.075E+02  1.778E+02    1.32 um     2038 A      2104 A   
   1.40 MeV   9.541E+02  1.691E+02    1.40 um     2107 A      2207 A   
   1.50 MeV   9.999E+02  1.613E+02    1.49 um     2171 A      2303 A   
   1.60 MeV   1.045E+03  1.543E+02    1.57 um     2230 A      2394 A   
   1.70 MeV   1.089E+03  1.479E+02    1.65 um     2284 A      2479 A   
   1.80 MeV   1.132E+03  1.421E+02    1.72 um     2333 A      2559 A   
   2.00 MeV   1.217E+03  1.319E+02    1.87 um     2426 A      2706 A   
   2.25 MeV   1.319E+03  1.213E+02    2.04 um     2527 A      2869 A   
   2.50 MeV   1.418E+03  1.124E+02    2.21 um     2612 A      3012 A   
   2.75 MeV   1.512E+03  1.048E+02    2.36 um     2686 A      3139 A   
   3.00 MeV   1.604E+03  9.833E+01    2.51 um     2750 A      3253 A   
   3.25 MeV   1.693E+03  9.267E+01    2.65 um     2806 A      3355 A   
   3.50 MeV   1.779E+03  8.769E+01    2.78 um     2856 A      3448 A   
   3.75 MeV   1.862E+03  8.327E+01    2.91 um     2901 A      3533 A   
   4.00 MeV   1.943E+03  7.931E+01    3.04 um     2941 A      3611 A   
   4.50 MeV   2.099E+03  7.253E+01    3.27 um     3019 A      3748 A   
   5.00 MeV   2.246E+03  6.692E+01    3.49 um     3084 A      3867 A   
   5.50 MeV   2.387E+03  6.218E+01    3.70 um     3140 A      3970 A   
   6.00 MeV   2.522E+03  5.813E+01    3.89 um     3188 A      4061 A   
   6.50 MeV   2.651E+03  5.462E+01    4.08 um     3230 A      4143 A   
   7.00 MeV   2.775E+03  5.154E+01    4.26 um     3267 A      4216 A   
   8.00 MeV   3.011E+03  4.640E+01    4.60 um     3348 A      4342 A   
   9.00 MeV   3.234E+03  4.226E+01    4.91 um     3414 A      4448 A   
  10.00 MeV   3.447E+03  3.886E+01    5.20 um     3469 A      4539 A   
  11.00 MeV   3.651E+03  3.600E+01    5.48 um     3517 A      4617 A   
  12.00 MeV   3.848E+03  3.357E+01    5.75 um     3558 A      4686 A   
  13.00 MeV   4.038E+03  3.146E+01    6.00 um     3595 A      4747 A   
  14.00 MeV   4.221E+03  2.963E+01    6.23 um     3627 A      4801 A   
  15.00 MeV   4.397E+03  2.801E+01    6.46 um     3656 A      4851 A   
  16.00 MeV   4.564E+03  2.658E+01    6.69 um     3683 A      4895 A   
  17.00 MeV   4.722E+03  2.529E+01    6.90 um     3707 A      4936 A   
  18.00 MeV   4.871E+03  2.413E+01    7.11 um     3729 A      4973 A   
  20.00 MeV   5.136E+03  2.213E+01    7.50 um     3789 A      5040 A   
  22.50 MeV   5.409E+03  2.008E+01    7.97 um     3867 A      5112 A   
  25.00 MeV   5.621E+03  1.840E+01    8.42 um     3935 A      5174 A   
  27.50 MeV   5.782E+03  1.700E+01    8.86 um     3997 A      5229 A   
  30.00 MeV   5.902E+03  1.581E+01    9.29 um     4055 A      5278 A   
  32.50 MeV   5.989E+03  1.478E+01    9.71 um     4109 A      5324 A   
  35.00 MeV   6.051E+03  1.389E+01   10.12 um     4161 A      5366 A   
  37.50 MeV   6.094E+03  1.311E+01   10.53 um     4211 A      5405 A   
