        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.25 MeV   1.275E+03  1.242E+01    3.03 um     2801 A      3628 A   
   2.50 MeV   1.342E+03  1.141E+01    3.22 um     2841 A      3704 A   
   2.75 MeV   1.402E+03  1.057E+01    3.40 um     2876 A      3771 A   
   3.00 MeV   1.455E+03  9.855E+00    3.57 um     2908 A      3831 A   
   3.25 MeV   1.504E+03  9.236E+00    3.74 um     2936 A      3885 A   
   3.50 MeV   1.549E+03  8.696E+00    3.90 um     2961 A      3935 A   
   3.75 MeV   1.590E+03  8.220E+00    4.05 um     2985 A      3980 A   
   4.00 MeV   1.629E+03  7.798E+00    4.21 um     3006 A      4022 A   
   4.50 MeV   1.699E+03  7.080E+00    4.51 um     3060 A      4098 A   
   5.00 MeV   1.762E+03  6.491E+00    4.79 um     3107 A      4164 A   
   5.50 MeV   1.819E+03  5.999E+00    5.07 um     3150 A      4223 A   
   6.00 MeV   1.870E+03  5.581E+00    5.34 um     3189 A      4277 A   
   6.50 MeV   1.916E+03  5.221E+00    5.60 um     3225 A      4327 A   
   7.00 MeV   1.957E+03  4.908E+00    5.86 um     3258 A      4372 A   
   8.00 MeV   2.020E+03  4.389E+00    6.36 um     3357 A      4454 A   
   9.00 MeV   2.061E+03  3.975E+00    6.85 um     3447 A      4527 A   
  10.00 MeV   2.084E+03  3.637E+00    7.33 um     3531 A      4593 A   
  11.00 MeV   2.091E+03  3.355E+00    7.80 um     3612 A      4654 A   
  12.00 MeV   2.087E+03  3.116E+00    8.28 um     3689 A      4712 A   
  13.00 MeV   2.075E+03  2.911E+00    8.76 um     3765 A      4767 A   
  14.00 MeV   2.058E+03  2.733E+00    9.24 um     3840 A      4821 A   
  15.00 MeV   2.037E+03  2.577E+00    9.73 um     3915 A      4872 A   
  16.00 MeV   2.015E+03  2.439E+00   10.22 um     3989 A      4922 A   
  17.00 MeV   1.991E+03  2.315E+00   10.72 um     4063 A      4972 A   
  18.00 MeV   1.966E+03  2.205E+00   11.22 um     4138 A      5020 A   
  20.00 MeV   1.916E+03  2.014E+00   12.25 um     4409 A      5116 A   
  22.50 MeV   1.855E+03  1.819E+00   13.58 um     4817 A      5234 A   
  25.00 MeV   1.796E+03  1.661E+00   14.94 um     5216 A      5352 A   
  27.50 MeV   1.741E+03  1.530E+00   16.36 um     5610 A      5471 A   
  30.00 MeV   1.689E+03  1.419E+00   17.81 um     6001 A      5591 A   
  32.50 MeV   1.642E+03  1.323E+00   19.31 um     6388 A      5713 A   
  35.00 MeV   1.602E+03  1.241E+00   20.85 um     6773 A      5837 A   
  37.50 MeV   1.556E+03  1.168E+00   22.43 um     7156 A      5964 A   
  40.00 MeV   1.511E+03  1.104E+00   24.06 um     7541 A      6093 A   
  45.00 MeV   1.431E+03  9.963E-01   27.46 um     8984 A      6363 A   
  50.00 MeV   1.360E+03  9.085E-01   31.04 um     1.04 um     6647 A   
  55.00 MeV   1.295E+03  8.356E-01   34.81 um     1.17 um     6946 A   
  60.00 MeV   1.237E+03  7.741E-01   38.75 um     1.30 um     7260 A   
  65.00 MeV   1.184E+03  7.215E-01   42.88 um     1.43 um     7591 A   
  70.00 MeV   1.135E+03  6.759E-01   47.19 um     1.56 um     7939 A   
  80.00 MeV   1.049E+03  6.007E-01   56.35 um     2.03 um     8684 A   
  90.00 MeV   9.756E+02  5.413E-01   66.23 um     2.47 um     9496 A   
 100.00 MeV   9.119E+02  4.931E-01   76.83 um     2.90 um     1.04 um  
 110.00 MeV   8.564E+02  4.531E-01   88.14 um     3.32 um     1.13 um  
 120.00 MeV   8.074E+02  4.194E-01  100.17 um     3.74 um     1.23 um  
 130.00 MeV   7.640E+02  3.906E-01  112.89 um     4.16 um     1.34 um  
 140.00 MeV   7.252E+02  3.657E-01  126.32 um     4.58 um     1.45 um  
 150.00 MeV   6.904E+02  3.438E-01  140.45 um     5.00 um     1.57 um  
 160.00 MeV   6.589E+02  3.246E-01  155.27 um     5.44 um     1.70 um  
 170.00 MeV   6.303E+02  3.075E-01  170.78 um     5.87 um     1.83 um  
 180.00 MeV   6.043E+02  2.922E-01  186.98 um     6.31 um     1.97 um  
 200.00 MeV   5.584E+02  2.659E-01  221.40 um     7.99 um     2.26 um  
 225.00 MeV   5.106E+02  2.393E-01  268.21 um    10.40 um     2.66 um  
 250.00 MeV   4.707E+02  2.177E-01  319.20 um    12.68 um     3.09 um  
 275.00 MeV   4.368E+02  1.999E-01  374.33 um    14.91 um     3.55 um  
 300.00 MeV   4.077E+02  1.848E-01  433.55 um    17.13 um     4.05 um  
 325.00 MeV   3.824E+02  1.720E-01  496.85 um    19.36 um     4.58 um  
 350.00 MeV   3.601E+02  1.609E-01  564.21 um    21.61 um     5.15 um  
 375.00 MeV   3.403E+02  1.512E-01  635.61 um    23.89 um     5.74 um  
 400.00 MeV   3.226E+02  1.426E-01  711.05 um    26.20 um     6.37 um  
 450.00 MeV   2.921E+02  1.283E-01  873.95 um    34.96 um     7.72 um  
 500.00 MeV   2.674E+02  1.166E-01    1.05 mm    43.22 um     9.21 um  
 550.00 MeV   2.479E+02  1.070E-01    1.25 mm    51.29 um    10.81 um  
 600.00 MeV   2.313E+02  9.886E-02    1.46 mm    59.27 um    12.53 um  
 650.00 MeV   2.170E+02  9.194E-02    1.68 mm    67.23 um    14.37 um  
 700.00 MeV   2.046E+02  8.597E-02    1.92 mm    75.24 um    16.31 um  
 800.00 MeV   1.841E+02  7.615E-02    2.43 mm   104.92 um    20.52 um  
 900.00 MeV   1.678E+02  6.842E-02    3.00 mm   132.41 um    25.14 um  
   1.00 GeV   1.546E+02  6.216E-02    3.62 mm   159.07 um    30.15 um  
   1.10 GeV   1.436E+02  5.700E-02    4.29 mm   185.46 um    35.55 um  
   1.20 GeV   1.343E+02  5.265E-02    5.01 mm   211.81 um    41.30 um  
   1.30 GeV   1.263E+02  4.894E-02    5.78 mm   238.26 um    47.41 um  
   1.40 GeV   1.195E+02  4.574E-02    6.59 mm   264.88 um    53.86 um  
   1.50 GeV   1.134E+02  4.295E-02    7.45 mm   291.70 um    60.63 um  
   1.60 GeV   1.081E+02  4.049E-02    8.36 mm   318.73 um    67.72 um  
   1.70 GeV   1.034E+02  3.831E-02    9.30 mm   345.98 um    75.12 um  
   1.80 GeV   9.915E+01  3.635E-02   10.29 mm   373.45 um    82.81 um  
   2.00 GeV   9.189E+01  3.301E-02   12.38 mm   477.41 um    99.04 um  
   2.25 GeV   8.454E+01  2.964E-02   15.22 mm   624.41 um   120.84 um  
   2.50 GeV   7.860E+01  2.691E-02   18.29 mm   761.12 um   144.18 um  
   2.75 GeV   7.369E+01  2.465E-02   21.57 mm   892.57 um   168.96 um  
   3.00 GeV   6.957E+01  2.276E-02   25.06 mm     1.02 mm   195.05 um  
   3.25 GeV   6.607E+01  2.115E-02   28.75 mm     1.15 mm   222.38 um  
   3.50 GeV   6.305E+01  1.975E-02   32.62 mm     1.27 mm   250.84 um  
   3.75 GeV   6.042E+01  1.854E-02   36.67 mm     1.40 mm   280.36 um  
   4.00 GeV   5.812E+01  1.747E-02   40.89 mm     1.52 mm   310.86 um  
   4.50 GeV   5.426E+01  1.567E-02   49.80 mm     1.98 mm   374.54 um  
   5.00 GeV   5.117E+01  1.422E-02   59.28 mm     2.39 mm   441.36 um  
   5.50 GeV   4.864E+01  1.303E-02   69.31 mm     2.78 mm   510.87 um  
   6.00 GeV   4.654E+01  1.202E-02   79.81 mm     3.16 mm   582.71 um  
   6.50 GeV   4.477E+01  1.117E-02   90.77 mm     3.52 mm   656.53 um  
   7.00 GeV   4.326E+01  1.043E-02  102.13 mm     3.87 mm   732.04 um  
   8.00 GeV   4.082E+01  9.217E-03  125.93 mm     5.13 mm   887.21 um  
   9.00 GeV   3.896E+01  8.266E-03  151.01 mm     6.24 mm     1.05 mm  
  10.00 GeV   3.749E+01  7.498E-03  177.17 mm     7.26 mm     1.21 mm  
