        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 MeV   3.437E+03  4.430E+00   12.10 um     4910 A      5999 A   
  32.50 MeV   3.385E+03  4.137E+00   12.83 um     5031 A      6052 A   
  35.00 MeV   3.332E+03  3.882E+00   13.57 um     5152 A      6104 A   
  37.50 MeV   3.278E+03  3.659E+00   14.33 um     5273 A      6155 A   
  40.00 MeV   3.225E+03  3.461E+00   15.10 um     5396 A      6206 A   
  45.00 MeV   3.122E+03  3.127E+00   16.67 um     5859 A      6306 A   
  50.00 MeV   3.031E+03  2.855E+00   18.29 um     6314 A      6405 A   
  55.00 MeV   2.948E+03  2.628E+00   19.97 um     6761 A      6505 A   
  60.00 MeV   2.850E+03  2.437E+00   21.69 um     7207 A      6606 A   
  65.00 MeV   2.764E+03  2.273E+00   23.47 um     7653 A      6710 A   
  70.00 MeV   2.683E+03  2.131E+00   25.30 um     8100 A      6815 A   
  80.00 MeV   2.536E+03  1.897E+00   29.13 um     9780 A      7034 A   
  90.00 MeV   2.405E+03  1.711E+00   33.18 um     1.14 um     7266 A   
 100.00 MeV   2.289E+03  1.560E+00   37.44 um     1.29 um     7511 A   
 110.00 MeV   2.184E+03  1.435E+00   41.91 um     1.44 um     7771 A   
 120.00 MeV   2.089E+03  1.329E+00   46.59 um     1.59 um     8045 A   
 130.00 MeV   2.003E+03  1.239E+00   51.47 um     1.73 um     8335 A   
 140.00 MeV   1.924E+03  1.161E+00   56.56 um     1.88 um     8641 A   
 150.00 MeV   1.852E+03  1.092E+00   61.86 um     2.03 um     8962 A   
 160.00 MeV   1.785E+03  1.032E+00   67.35 um     2.18 um     9299 A   
 170.00 MeV   1.723E+03  9.777E-01   73.05 um     2.32 um     9653 A   
 180.00 MeV   1.666E+03  9.294E-01   78.95 um     2.47 um     1.00 um  
 200.00 MeV   1.563E+03  8.466E-01   91.34 um     3.04 um     1.08 um  
 225.00 MeV   1.451E+03  7.625E-01  107.94 um     3.85 um     1.19 um  
 250.00 MeV   1.354E+03  6.943E-01  125.77 um     4.61 um     1.30 um  
 275.00 MeV   1.270E+03  6.378E-01  144.83 um     5.35 um     1.43 um  
 300.00 MeV   1.196E+03  5.902E-01  165.10 um     6.07 um     1.56 um  
 325.00 MeV   1.130E+03  5.495E-01  186.60 um     6.80 um     1.71 um  
 350.00 MeV   1.071E+03  5.143E-01  209.31 um     7.53 um     1.86 um  
 375.00 MeV   1.018E+03  4.836E-01  233.24 um     8.27 um     2.02 um  
 400.00 MeV   9.701E+02  4.564E-01  258.39 um     9.01 um     2.19 um  
 450.00 MeV   8.867E+02  4.107E-01  312.30 um    11.82 um     2.55 um  
 500.00 MeV   8.171E+02  3.737E-01  371.04 um    14.47 um     2.95 um  
 550.00 MeV   7.584E+02  3.430E-01  434.55 um    17.05 um     3.38 um  
 600.00 MeV   7.089E+02  3.172E-01  502.73 um    19.61 um     3.84 um  
 650.00 MeV   6.668E+02  2.951E-01  575.44 um    22.17 um     4.33 um  
 700.00 MeV   6.312E+02  2.761E-01  652.49 um    24.72 um     4.84 um  
 800.00 MeV   5.698E+02  2.447E-01  819.23 um    34.21 um     5.96 um  
 900.00 MeV   5.191E+02  2.200E-01    1.00 mm    43.02 um     7.18 um  
   1.00 GeV   4.777E+02  2.000E-01    1.20 mm    51.60 um     8.52 um  
   1.10 GeV   4.431E+02  1.835E-01    1.42 mm    60.12 um     9.95 um  
   1.20 GeV   4.138E+02  1.696E-01    1.65 mm    68.65 um    11.48 um  
   1.30 GeV   3.886E+02  1.577E-01    1.90 mm    77.24 um    13.11 um  
   1.40 GeV   3.668E+02  1.475E-01    2.17 mm    85.91 um    14.84 um  
   1.50 GeV   3.476E+02  1.385E-01    2.45 mm    94.67 um    16.66 um  
   1.60 GeV   3.307E+02  1.306E-01    2.74 mm   103.53 um    18.56 um  
   1.70 GeV   3.156E+02  1.236E-01    3.05 mm   112.48 um    20.56 um  
   1.80 GeV   3.020E+02  1.174E-01    3.38 mm   121.54 um    22.64 um  
   2.00 GeV   2.788E+02  1.066E-01    4.07 mm   155.97 um    27.06 um  
   2.25 GeV   2.551E+02  9.578E-02    5.00 mm   204.94 um    33.02 um  
   2.50 GeV   2.359E+02  8.700E-02    6.02 mm   250.77 um    39.46 um  
   2.75 GeV   2.200E+02  7.975E-02    7.12 mm   295.14 um    46.35 um  
   3.00 GeV   2.066E+02  7.366E-02    8.29 mm   338.79 um    53.66 um  
   3.25 GeV   1.952E+02  6.846E-02    9.54 mm   382.06 um    61.38 um  
   3.50 GeV   1.853E+02  6.397E-02   10.85 mm   425.17 um    69.47 um  
   3.75 GeV   1.766E+02  6.006E-02   12.23 mm   468.22 um    77.93 um  
   4.00 GeV   1.690E+02  5.661E-02   13.68 mm   511.27 um    86.73 um  
   4.50 GeV   1.563E+02  5.082E-02   16.76 mm   671.93 um   105.31 um  
   5.00 GeV   1.460E+02  4.614E-02   20.07 mm   819.52 um   125.07 um  
   5.50 GeV   1.375E+02  4.227E-02   23.60 mm   960.11 um   145.91 um  
   6.00 GeV   1.304E+02  3.903E-02   27.33 mm     1.10 mm   167.72 um  
   6.50 GeV   1.244E+02  3.626E-02   31.25 mm     1.23 mm   190.42 um  
   7.00 GeV   1.192E+02  3.387E-02   35.36 mm     1.36 mm   213.92 um  
   8.00 GeV   1.108E+02  2.995E-02   44.06 mm     1.84 mm   263.05 um  
   9.00 GeV   1.043E+02  2.687E-02   53.36 mm     2.26 mm   314.57 um  
  10.00 GeV   9.909E+01  2.439E-02   63.20 mm     2.65 mm   368.05 um  
