        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 700.00 keV   6.318E+02  4.335E+01    1.35 um     2193 A      2441 A   
 800.00 keV   6.860E+02  3.933E+01    1.49 um     2280 A      2584 A   
 900.00 keV   7.382E+02  3.606E+01    1.62 um     2353 A      2709 A   
   1.00 MeV   7.888E+02  3.334E+01    1.74 um     2414 A      2817 A   
   1.10 MeV   8.380E+02  3.104E+01    1.85 um     2467 A      2913 A   
   1.20 MeV   8.860E+02  2.907E+01    1.96 um     2513 A      2999 A   
   1.30 MeV   9.327E+02  2.735E+01    2.06 um     2553 A      3076 A   
   1.40 MeV   9.782E+02  2.585E+01    2.16 um     2589 A      3146 A   
   1.50 MeV   1.023E+03  2.451E+01    2.26 um     2620 A      3209 A   
   1.60 MeV   1.066E+03  2.332E+01    2.35 um     2649 A      3267 A   
   1.70 MeV   1.108E+03  2.225E+01    2.44 um     2674 A      3321 A   
   1.80 MeV   1.148E+03  2.129E+01    2.52 um     2698 A      3370 A   
   2.00 MeV   1.226E+03  1.961E+01    2.69 um     2743 A      3458 A   
   2.25 MeV   1.316E+03  1.787E+01    2.88 um     2794 A      3553 A   
   2.50 MeV   1.399E+03  1.644E+01    3.06 um     2836 A      3634 A   
   2.75 MeV   1.474E+03  1.524E+01    3.23 um     2872 A      3705 A   
   3.00 MeV   1.544E+03  1.422E+01    3.39 um     2904 A      3768 A   
   3.25 MeV   1.607E+03  1.333E+01    3.55 um     2932 A      3825 A   
   3.50 MeV   1.666E+03  1.256E+01    3.70 um     2957 A      3876 A   
   3.75 MeV   1.719E+03  1.188E+01    3.84 um     2980 A      3922 A   
   4.00 MeV   1.769E+03  1.128E+01    3.98 um     3001 A      3965 A   
   4.50 MeV   1.858E+03  1.025E+01    4.25 um     3051 A      4041 A   
   5.00 MeV   1.935E+03  9.400E+00    4.52 um     3094 A      4108 A   
   5.50 MeV   2.005E+03  8.693E+00    4.77 um     3133 A      4167 A   
   6.00 MeV   2.067E+03  8.092E+00    5.01 um     3168 A      4220 A   
   6.50 MeV   2.123E+03  7.574E+00    5.25 um     3200 A      4268 A   
   7.00 MeV   2.174E+03  7.123E+00    5.48 um     3230 A      4313 A   
   8.00 MeV   2.260E+03  6.374E+00    5.93 um     3314 A      4392 A   
   9.00 MeV   2.326E+03  5.777E+00    6.36 um     3390 A      4461 A   
