        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   1.589E+03  3.494E+01    3.43 um     3440 A      4329 A   
   3.50 MeV   1.667E+03  3.298E+01    3.58 um     3477 A      4405 A   
   3.75 MeV   1.743E+03  3.124E+01    3.72 um     3509 A      4473 A   
   4.00 MeV   1.816E+03  2.969E+01    3.86 um     3538 A      4535 A   
   4.50 MeV   1.954E+03  2.705E+01    4.12 um     3596 A      4643 A   
   5.00 MeV   2.083E+03  2.488E+01    4.36 um     3645 A      4736 A   
   5.50 MeV   2.205E+03  2.305E+01    4.59 um     3687 A      4816 A   
   6.00 MeV   2.320E+03  2.150E+01    4.81 um     3724 A      4887 A   
   6.50 MeV   2.429E+03  2.015E+01    5.01 um     3756 A      4949 A   
   7.00 MeV   2.533E+03  1.898E+01    5.21 um     3784 A      5005 A   
   8.00 MeV   2.728E+03  1.703E+01    5.59 um     3851 A      5102 A   
   9.00 MeV   2.908E+03  1.547E+01    5.94 um     3907 A      5182 A   
  10.00 MeV   3.073E+03  1.419E+01    6.27 um     3955 A      5251 A   
  11.00 MeV   3.223E+03  1.311E+01    6.59 um     3997 A      5311 A   
  12.00 MeV   3.356E+03  1.220E+01    6.89 um     4035 A      5364 A   
  13.00 MeV   3.473E+03  1.142E+01    7.18 um     4068 A      5412 A   
  14.00 MeV   3.572E+03  1.074E+01    7.46 um     4099 A      5455 A   
  15.00 MeV   3.655E+03  1.014E+01    7.74 um     4128 A      5494 A   
  16.00 MeV   3.723E+03  9.606E+00    8.01 um     4156 A      5530 A   
  17.00 MeV   3.777E+03  9.130E+00    8.27 um     4181 A      5564 A   
  18.00 MeV   3.819E+03  8.703E+00    8.53 um     4206 A      5596 A   
  20.00 MeV   3.872E+03  7.965E+00    9.05 um     4284 A      5655 A   
  22.50 MeV   3.898E+03  7.212E+00    9.69 um     4396 A      5721 A   
  25.00 MeV   3.893E+03  6.596E+00   10.33 um     4503 A      5782 A   
  27.50 MeV   3.870E+03  6.084E+00   10.97 um     4608 A      5839 A   
  30.00 MeV   3.835E+03  5.650E+00   11.62 um     4711 A      5892 A   
  32.50 MeV   3.793E+03  5.277E+00   12.28 um     4813 A      5944 A   
  35.00 MeV   3.747E+03  4.953E+00   12.94 um     4915 A      5993 A   
  37.50 MeV   3.699E+03  4.669E+00   13.61 um     5017 A      6042 A   
  40.00 MeV   3.650E+03  4.418E+00   14.29 um     5120 A      6089 A   
  45.00 MeV   3.552E+03  3.992E+00   15.67 um     5503 A      6181 A   
  50.00 MeV   3.456E+03  3.646E+00   17.10 um     5880 A      6272 A   
  55.00 MeV   3.370E+03  3.358E+00   18.56 um     6252 A      6362 A   
  60.00 MeV   3.296E+03  3.114E+00   20.06 um     6620 A      6452 A   
  65.00 MeV   3.202E+03  2.906E+00   21.60 um     6986 A      6542 A   
  70.00 MeV   3.119E+03  2.725E+00   23.18 um     7352 A      6633 A   
  80.00 MeV   2.967E+03  2.426E+00   26.46 um     8728 A      6819 A   
  90.00 MeV   2.831E+03  2.189E+00   29.91 um     1.00 um     7013 A   
 100.00 MeV   2.709E+03  1.996E+00   33.52 um     1.13 um     7215 A   
 110.00 MeV   2.599E+03  1.837E+00   37.29 um     1.25 um     7426 A   
 120.00 MeV   2.498E+03  1.702E+00   41.21 um     1.37 um     7646 A   
 130.00 MeV   2.406E+03  1.586E+00   45.28 um     1.49 um     7877 A   
 140.00 MeV   2.322E+03  1.486E+00   49.51 um     1.61 um     8118 A   
 150.00 MeV   2.244E+03  1.398E+00   53.89 um     1.73 um     8369 A   
 160.00 MeV   2.171E+03  1.321E+00   58.42 um     1.84 um     8631 A   
 170.00 MeV   2.104E+03  1.252E+00   63.10 um     1.96 um     8903 A   
 180.00 MeV   2.041E+03  1.191E+00   67.92 um     2.08 um     9187 A   
 200.00 MeV   1.926E+03  1.085E+00   78.00 um     2.53 um     9785 A   
 225.00 MeV   1.800E+03  9.773E-01   91.43 um     3.17 um     1.06 um  
 250.00 MeV   1.690E+03  8.900E-01  105.76 um     3.77 um     1.15 um  
 275.00 MeV   1.592E+03  8.178E-01  121.00 um     4.35 um     1.24 um  
 300.00 MeV   1.505E+03  7.568E-01  137.14 um     4.92 um     1.34 um  
 325.00 MeV   1.427E+03  7.048E-01  154.20 um     5.48 um     1.45 um  
 350.00 MeV   1.356E+03  6.597E-01  172.17 um     6.05 um     1.56 um  
 375.00 MeV   1.291E+03  6.203E-01  191.07 um     6.62 um     1.68 um  
 400.00 MeV   1.232E+03  5.855E-01  210.88 um     7.20 um     1.80 um  
 450.00 MeV   1.129E+03  5.270E-01  253.28 um     9.38 um     2.07 um  
 500.00 MeV   1.042E+03  4.795E-01  299.38 um    11.44 um     2.36 um  
 550.00 MeV   9.682E+02  4.403E-01  349.16 um    13.45 um     2.68 um  
 600.00 MeV   9.060E+02  4.072E-01  402.54 um    15.44 um     3.02 um  
 650.00 MeV   8.537E+02  3.789E-01  459.39 um    17.42 um     3.38 um  
 700.00 MeV   8.100E+02  3.545E-01  519.51 um    19.40 um     3.76 um  
 800.00 MeV   7.448E+02  3.143E-01  648.25 um    26.64 um     4.58 um  
 900.00 MeV   6.836E+02  2.827E-01  788.39 um    33.24 um     5.46 um  
   1.00 GeV   6.306E+02  2.570E-01  940.69 um    39.65 um     6.41 um  
   1.10 GeV   5.862E+02  2.358E-01    1.11 mm    46.00 um     7.43 um  
   1.20 GeV   5.484E+02  2.179E-01    1.28 mm    52.37 um     8.52 um  
