        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 110.00 keV   2.530E+02  3.523E+02    1432 A       460 A       341 A   
 120.00 keV   2.617E+02  3.394E+02    1572 A       496 A       370 A   
 130.00 keV   2.692E+02  3.277E+02    1715 A       531 A       400 A   
 140.00 keV   2.759E+02  3.168E+02    1859 A       566 A       429 A   
 150.00 keV   2.820E+02  3.068E+02    2004 A       600 A       459 A   
 160.00 keV   2.876E+02  2.974E+02    2151 A       634 A       488 A   
 170.00 keV   2.929E+02  2.888E+02    2300 A       667 A       517 A   
 180.00 keV   2.980E+02  2.807E+02    2450 A       700 A       547 A   
 200.00 keV   3.077E+02  2.660E+02    2753 A       765 A       606 A   
 225.00 keV   3.196E+02  2.500E+02    3137 A       845 A       679 A   
 250.00 keV   3.319E+02  2.361E+02    3525 A       921 A       753 A   
 275.00 keV   3.446E+02  2.239E+02    3916 A       995 A       825 A   
 300.00 keV   3.580E+02  2.131E+02    4307 A      1066 A       897 A   
 325.00 keV   3.721E+02  2.034E+02    4697 A      1134 A       968 A   
 350.00 keV   3.867E+02  1.947E+02    5086 A      1199 A      1038 A   
 375.00 keV   4.018E+02  1.869E+02    5471 A      1261 A      1106 A   
 400.00 keV   4.174E+02  1.797E+02    5853 A      1320 A      1173 A   
 450.00 keV   4.498E+02  1.671E+02    6602 A      1431 A      1301 A   
 500.00 keV   4.833E+02  1.564E+02    7330 A      1531 A      1423 A   
 550.00 keV   5.176E+02  1.471E+02    8034 A      1621 A      1537 A   
 600.00 keV   5.522E+02  1.391E+02    8715 A      1702 A      1644 A   
 650.00 keV   5.869E+02  1.319E+02    9373 A      1776 A      1744 A   
 700.00 keV   6.215E+02  1.256E+02    1.00 um     1843 A      1838 A   
 800.00 keV   6.899E+02  1.148E+02    1.12 um     1962 A      2008 A   
 900.00 keV   7.565E+02  1.059E+02    1.23 um     2063 A      2158 A   
   1.00 MeV   8.208E+02  9.842E+01    1.34 um     2148 A      2291 A   
   1.10 MeV   8.828E+02  9.205E+01    1.44 um     2221 A      2409 A   
   1.20 MeV   9.424E+02  8.654E+01    1.54 um     2284 A      2515 A   
   1.30 MeV   9.995E+02  8.172E+01    1.63 um     2340 A      2611 A   
   1.40 MeV   1.054E+03  7.747E+01    1.71 um     2390 A      2698 A   
   1.50 MeV   1.107E+03  7.368E+01    1.80 um     2434 A      2778 A   
   1.60 MeV   1.158E+03  7.029E+01    1.88 um     2474 A      2851 A   
   1.70 MeV   1.206E+03  6.723E+01    1.96 um     2511 A      2919 A   
   1.80 MeV   1.253E+03  6.445E+01    2.03 um     2544 A      2982 A   
   2.00 MeV   1.343E+03  5.959E+01    2.17 um     2605 A      3094 A   
   2.25 MeV   1.446E+03  5.455E+01    2.34 um     2672 A      3216 A   
   2.50 MeV   1.543E+03  5.037E+01    2.50 um     2728 A      3322 A   
   2.75 MeV   1.634E+03  4.684E+01    2.65 um     2777 A      3414 A   
   3.00 MeV   1.719E+03  4.382E+01    2.79 um     2819 A      3497 A   
   3.25 MeV   1.801E+03  4.119E+01    2.93 um     2856 A      3570 A   
   3.50 MeV   1.878E+03  3.889E+01    3.06 um     2888 A      3637 A   
   3.75 MeV   1.953E+03  3.686E+01    3.19 um     2918 A      3697 A   
   4.00 MeV   2.025E+03  3.505E+01    3.31 um     2944 A      3752 A   
   4.50 MeV   2.161E+03  3.195E+01    3.54 um     3000 A      3850 A   
   5.00 MeV   2.289E+03  2.939E+01    3.76 um     3047 A      3935 A   
   5.50 MeV   2.410E+03  2.725E+01    3.97 um     3087 A      4009 A   
   6.00 MeV   2.526E+03  2.542E+01    4.17 um     3123 A      4074 A   
   6.50 MeV   2.637E+03  2.384E+01    4.36 um     3154 A      4133 A   
   7.00 MeV   2.745E+03  2.246E+01    4.54 um     3182 A      4185 A   
   8.00 MeV   2.949E+03  2.016E+01    4.89 um     3249 A      4277 A   
   9.00 MeV   3.141E+03  1.832E+01    5.21 um     3305 A      4354 A   
  10.00 MeV   3.322E+03  1.681E+01    5.52 um     3353 A      4420 A   
  11.00 MeV   3.489E+03  1.554E+01    5.81 um     3395 A      4478 A   
  12.00 MeV   3.642E+03  1.447E+01    6.09 um     3433 A      4530 A   
  13.00 MeV   3.778E+03  1.354E+01    6.36 um     3466 A      4575 A   
  14.00 MeV   3.898E+03  1.273E+01    6.62 um     3497 A      4617 A   
  15.00 MeV   4.002E+03  1.203E+01    6.87 um     3525 A      4655 A   
  16.00 MeV   4.089E+03  1.140E+01    7.11 um     3552 A      4690 A   
  17.00 MeV   4.161E+03  1.083E+01    7.35 um     3577 A      4723 A   
  18.00 MeV   4.220E+03  1.033E+01    7.59 um     3600 A      4753 A   
  20.00 MeV   4.302E+03  9.456E+00    8.06 um     3675 A      4809 A   
  22.50 MeV   4.355E+03  8.564E+00    8.64 um     3780 A      4872 A   
  25.00 MeV   4.370E+03  7.836E+00    9.21 um     3880 A      4930 A   
  27.50 MeV   4.359E+03  7.228E+00    9.78 um     3976 A      4984 A   
  30.00 MeV   4.332E+03  6.714E+00   10.35 um     4070 A      5034 A   
  32.50 MeV   4.295E+03  6.272E+00   10.93 um     4163 A      5082 A   
  35.00 MeV   4.251E+03  5.888E+00   11.51 um     4255 A      5128 A   
  37.50 MeV   4.203E+03  5.551E+00   12.10 um     4347 A      5173 A   
  40.00 MeV   4.153E+03  5.253E+00   12.70 um     4439 A      5217 A   
  45.00 MeV   4.049E+03  4.749E+00   13.92 um     4780 A      5302 A   
  50.00 MeV   3.945E+03  4.338E+00   15.17 um     5114 A      5386 A   
  55.00 MeV   3.844E+03  3.996E+00   16.45 um     5443 A      5468 A   
  60.00 MeV   3.765E+03  3.707E+00   17.76 um     5767 A      5550 A   
  65.00 MeV   3.672E+03  3.459E+00   19.11 um     6088 A      5632 A   
  70.00 MeV   3.572E+03  3.244E+00   20.48 um     6408 A      5715 A   
  80.00 MeV   3.399E+03  2.889E+00   23.35 um     7612 A      5883 A   
  90.00 MeV   3.243E+03  2.607E+00   26.36 um     8747 A      6057 A   
 100.00 MeV   3.104E+03  2.378E+00   29.51 um     9841 A      6238 A   
 110.00 MeV   2.978E+03  2.188E+00   32.80 um     1.09 um     6427 A   
 120.00 MeV   2.863E+03  2.028E+00   36.22 um     1.20 um     6623 A   
 130.00 MeV   2.758E+03  1.890E+00   39.78 um     1.30 um     6828 A   
