       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 keV   6.114E+01  2.227E+02     726 A       363 A       252 A   
  32.50 keV   6.364E+01  2.189E+02     789 A       390 A       270 A   
  35.00 keV   6.604E+01  2.152E+02     852 A       417 A       289 A   
  37.50 keV   6.836E+01  2.115E+02     915 A       444 A       307 A   
  40.00 keV   7.060E+01  2.080E+02     979 A       470 A       326 A   
  45.00 keV   7.488E+01  2.014E+02    1110 A       523 A       364 A   
  50.00 keV   8.549E+01  1.951E+02    1241 A       574 A       402 A   
  55.00 keV   9.311E+01  1.892E+02    1371 A       622 A       441 A   
  60.00 keV   9.769E+01  1.838E+02    1503 A       670 A       479 A   
  65.00 keV   1.006E+02  1.787E+02    1636 A       719 A       517 A   
  70.00 keV   1.028E+02  1.738E+02    1771 A       767 A       555 A   
  80.00 keV   1.063E+02  1.651E+02    2049 A       864 A       630 A   
  90.00 keV   1.102E+02  1.573E+02    2335 A       960 A       705 A   
 100.00 keV   1.148E+02  1.503E+02    2627 A      1055 A       781 A   
 110.00 keV   1.203E+02  1.440E+02    2923 A      1148 A       858 A   
 120.00 keV   1.264E+02  1.383E+02    3221 A      1239 A       935 A   
 130.00 keV   1.331E+02  1.331E+02    3520 A      1326 A      1013 A   
 140.00 keV   1.402E+02  1.284E+02    3818 A      1411 A      1090 A   
 150.00 keV   1.477E+02  1.240E+02    4115 A      1492 A      1166 A   
 160.00 keV   1.553E+02  1.200E+02    4410 A      1570 A      1242 A   
 170.00 keV   1.631E+02  1.163E+02    4703 A      1645 A      1316 A   
 180.00 keV   1.710E+02  1.128E+02    4993 A      1717 A      1389 A   
 200.00 keV   1.870E+02  1.066E+02    5562 A      1853 A      1530 A   
 225.00 keV   2.069E+02  9.980E+01    6254 A      2007 A      1698 A   
 250.00 keV   2.266E+02  9.397E+01    6923 A      2145 A      1855 A   
 275.00 keV   2.459E+02  8.887E+01    7570 A      2271 A      2002 A   
 300.00 keV   2.648E+02  8.438E+01    8196 A      2385 A      2139 A   
 325.00 keV   2.831E+02  8.039E+01    8801 A      2489 A      2267 A   
 350.00 keV   3.009E+02  7.681E+01    9388 A      2584 A      2388 A   
 375.00 keV   3.183E+02  7.358E+01    9957 A      2671 A      2500 A   
 400.00 keV   3.351E+02  7.065E+01    1.05 um     2752 A      2606 A   
 450.00 keV   3.672E+02  6.552E+01    1.16 um     2896 A      2801 A   
 500.00 keV   3.974E+02  6.117E+01    1.26 um     3021 A      2975 A   
 550.00 keV   4.258E+02  5.744E+01    1.35 um     3131 A      3132 A   
 600.00 keV   4.527E+02  5.419E+01    1.45 um     3228 A      3274 A   
 650.00 keV   4.783E+02  5.133E+01    1.54 um     3314 A      3405 A   
 700.00 keV   5.030E+02  4.880E+01    1.62 um     3392 A      3525 A   
 800.00 keV   5.511E+02  4.449E+01    1.78 um     3530 A      3738 A   
 900.00 keV   5.993E+02  4.095E+01    1.94 um     3644 A      3923 A   
   1.00 MeV   6.488E+02  3.800E+01    2.08 um     3739 A      4083 A   
