        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  32.50 keV   7.259E+01  1.418E+02    1118 A       411 A       293 A   
  35.00 keV   7.518E+01  1.377E+02    1213 A       439 A       316 A   
  37.50 keV   7.755E+01  1.338E+02    1309 A       467 A       338 A   
  40.00 keV   7.973E+01  1.302E+02    1406 A       496 A       361 A   
  45.00 keV   8.370E+01  1.237E+02    1604 A       551 A       406 A   
  50.00 keV   8.729E+01  1.178E+02    1805 A       606 A       452 A   
  55.00 keV   9.064E+01  1.126E+02    2009 A       660 A       498 A   
  60.00 keV   9.381E+01  1.080E+02    2216 A       713 A       544 A   
  65.00 keV   9.686E+01  1.037E+02    2426 A       765 A       590 A   
  70.00 keV   9.981E+01  9.983E+01    2638 A       817 A       636 A   
  80.00 keV   1.055E+02  9.302E+01    3066 A       917 A       729 A   
  90.00 keV   1.110E+02  8.721E+01    3499 A      1013 A       821 A   
 100.00 keV   1.163E+02  8.219E+01    3935 A      1106 A       912 A   
 110.00 keV   1.215E+02  7.781E+01    4373 A      1195 A      1002 A   
 120.00 keV   1.265E+02  7.393E+01    4810 A      1280 A      1090 A   
 130.00 keV   1.315E+02  7.048E+01    5247 A      1362 A      1177 A   
 140.00 keV   1.364E+02  6.738E+01    5683 A      1440 A      1262 A   
 150.00 keV   1.412E+02  6.458E+01    6116 A      1515 A      1345 A   
 160.00 keV   1.459E+02  6.204E+01    6546 A      1586 A      1427 A   
 170.00 keV   1.506E+02  5.972E+01    6974 A      1655 A      1506 A   
 180.00 keV   1.552E+02  5.759E+01    7398 A      1721 A      1584 A   
 200.00 keV   1.642E+02  5.381E+01    8235 A      1847 A      1733 A   
 225.00 keV   1.752E+02  4.981E+01    9260 A      1990 A      1910 A   
 250.00 keV   1.860E+02  4.644E+01    1.03 um     2120 A      2076 A   
 275.00 keV   1.966E+02  4.355E+01    1.12 um     2238 A      2232 A   
 300.00 keV   2.069E+02  4.103E+01    1.22 um     2346 A      2377 A   
 325.00 keV   2.171E+02  3.883E+01    1.31 um     2444 A      2515 A   
 350.00 keV   2.272E+02  3.688E+01    1.40 um     2534 A      2643 A   
 375.00 keV   2.372E+02  3.513E+01    1.49 um     2617 A      2765 A   
 400.00 keV   2.470E+02  3.357E+01    1.57 um     2693 A      2879 A   
 450.00 keV   2.664E+02  3.086E+01    1.73 um     2834 A      3089 A   
 500.00 keV   2.854E+02  2.860E+01    1.89 um     2955 A      3277 A   
 550.00 keV   3.041E+02  2.668E+01    2.04 um     3060 A      3447 A   
 600.00 keV   3.226E+02  2.503E+01    2.18 um     3152 A      3600 A   
 650.00 keV   3.407E+02  2.359E+01    2.31 um     3234 A      3740 A   
 700.00 keV   3.586E+02  2.232E+01    2.44 um     3306 A      3867 A   
 800.00 keV   3.937E+02  2.019E+01    2.69 um     3437 A      4091 A   
 900.00 keV   4.279E+02  1.846E+01    2.91 um     3544 A      4282 A   
   1.00 MeV   4.611E+02  1.704E+01    3.12 um     3634 A      4447 A   
   1.10 MeV   4.936E+02  1.583E+01    3.32 um     3709 A      4591 A   
   1.20 MeV   5.251E+02  1.480E+01    3.51 um     3774 A      4717 A   
   1.30 MeV   5.559E+02  1.391E+01    3.68 um     3830 A      4830 A   
   1.40 MeV   5.858E+02  1.312E+01    3.85 um     3879 A      4931 A   
   1.50 MeV   6.149E+02  1.243E+01    4.01 um     3922 A      5021 A   
   1.60 MeV   6.431E+02  1.181E+01    4.16 um     3961 A      5104 A   
   1.70 MeV   6.705E+02  1.126E+01    4.31 um     3995 A      5179 A   
   1.80 MeV   6.971E+02  1.076E+01    4.45 um     4027 A      5248 A   
   2.00 MeV   7.480E+02  9.895E+00    4.72 um     4090 A      5370 A   
   2.25 MeV   8.071E+02  9.004E+00    5.04 um     4160 A      5499 A   
   2.50 MeV   8.618E+02  8.272E+00    5.33 um     4218 A      5609 A   
   2.75 MeV   9.123E+02  7.658E+00    5.61 um     4268 A      5704 A   
   3.00 MeV   9.592E+02  7.135E+00    5.87 um     4311 A      5787 A   
   3.25 MeV   1.003E+03  6.684E+00    6.12 um     4349 A      5860 A   
   3.50 MeV   1.044E+03  6.291E+00    6.36 um     4383 A      5926 A   
