        Ion        dEdx      dEdx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  16.00 MeV   4.809E+00  2.496E-03    1.87 mm    73.71 um    60.54 um  
  17.00 MeV   4.580E+00  2.363E-03    2.08 mm    80.30 um    67.12 um  
  18.00 MeV   4.373E+00  2.244E-03    2.31 mm    87.01 um    74.00 um  
  20.00 MeV   4.016E+00  2.040E-03    2.78 mm   111.40 um    88.66 um  
  22.50 MeV   3.651E+00  1.834E-03    3.43 mm   146.26 um   108.62 um  
  25.00 MeV   3.353E+00  1.666E-03    4.15 mm   179.46 um   130.35 um  
  27.50 MeV   3.105E+00  1.528E-03    4.92 mm   212.09 um   153.80 um  
  30.00 MeV   2.895E+00  1.412E-03    5.75 mm   244.66 um   178.94 um  
  32.50 MeV   2.714E+00  1.313E-03    6.64 mm   277.42 um   205.72 um  
  35.00 MeV   2.557E+00  1.227E-03    7.59 mm   310.51 um   234.11 um  
  37.50 MeV   2.419E+00  1.153E-03    8.59 mm   344.01 um   264.07 um  
  40.00 MeV   2.298E+00  1.087E-03    9.65 mm   377.97 um   295.57 um  
  45.00 MeV   2.092E+00  9.762E-04   11.93 mm   501.69 um   363.11 um  
  50.00 MeV   1.924E+00  8.867E-04   14.41 mm   618.26 um   436.47 um  
  55.00 MeV   1.785E+00  8.128E-04   17.11 mm   732.07 um   515.46 um  
  60.00 MeV   1.667E+00  7.507E-04   20.00 mm   845.04 um   599.89 um  
  65.00 MeV   1.566E+00  6.977E-04   23.09 mm   958.13 um   689.57 um  
  70.00 MeV   1.479E+00  6.519E-04   26.37 mm     1.07 mm   784.35 um  
  80.00 MeV   1.335E+00  5.769E-04   33.48 mm     1.48 mm   988.59 um  
  90.00 MeV   1.221E+00  5.178E-04   41.30 mm     1.86 mm     1.21 mm  
 100.00 MeV   1.129E+00  4.701E-04   49.80 mm     2.23 mm     1.45 mm  
 110.00 MeV   1.052E+00  4.307E-04   58.96 mm     2.60 mm     1.71 mm  
 120.00 MeV   9.877E-01  3.976E-04   68.76 mm     2.96 mm     1.98 mm  
 130.00 MeV   9.327E-01  3.694E-04   79.16 mm     3.33 mm     2.27 mm  
 140.00 MeV   8.852E-01  3.450E-04   90.14 mm     3.69 mm     2.57 mm  
 150.00 MeV   8.438E-01  3.238E-04  101.69 mm     4.06 mm     2.89 mm  
 160.00 MeV   8.073E-01  3.051E-04  113.79 mm     4.43 mm     3.21 mm  
 170.00 MeV   7.749E-01  2.886E-04  126.41 mm     4.80 mm     3.55 mm  
 180.00 MeV   7.460E-01  2.737E-04  139.54 mm     5.17 mm     3.91 mm  
 200.00 MeV   6.965E-01  2.484E-04  167.25 mm     6.54 mm     4.64 mm  
 225.00 MeV   6.466E-01  2.228E-04  204.45 mm     8.45 mm     5.62 mm  
 250.00 MeV   6.066E-01  2.022E-04  244.31 mm    10.22 mm     6.65 mm  
 275.00 MeV   5.736E-01  1.851E-04  286.64 mm    11.90 mm     7.73 mm  
 300.00 MeV   5.461E-01  1.708E-04  331.24 mm    13.54 mm     8.85 mm  
 325.00 MeV   5.228E-01  1.586E-04  377.96 mm    15.13 mm    10.01 mm  
 350.00 MeV   5.029E-01  1.481E-04  426.65 mm    16.70 mm    11.21 mm  
 375.00 MeV   4.856E-01  1.389E-04  477.18 mm    18.24 mm    12.43 mm  
 400.00 MeV   4.705E-01  1.309E-04  529.41 mm    19.75 mm    13.68 mm  
 450.00 MeV   4.456E-01  1.173E-04  638.48 mm    25.20 mm    16.25 mm  
