        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 150.00 keV   1.506E+02  2.950E+02    2636 A       675 A       506 A   
 160.00 keV   1.544E+02  2.866E+02    2838 A       717 A       541 A   
 170.00 keV   1.581E+02  2.787E+02    3043 A       758 A       576 A   
 180.00 keV   1.619E+02  2.713E+02    3249 A       800 A       611 A   
 200.00 keV   1.694E+02  2.578E+02    3668 A       882 A       682 A   
 225.00 keV   1.790E+02  2.430E+02    4201 A       983 A       773 A   
 250.00 keV   1.887E+02  2.300E+02    4741 A      1080 A       863 A   
 275.00 keV   1.986E+02  2.186E+02    5285 A      1175 A       954 A   
 300.00 keV   2.086E+02  2.085E+02    5833 A      1267 A      1045 A   
 325.00 keV   2.186E+02  1.994E+02    6381 A      1355 A      1134 A   
 350.00 keV   2.286E+02  1.911E+02    6929 A      1440 A      1223 A   
 375.00 keV   2.387E+02  1.837E+02    7476 A      1522 A      1311 A   
 400.00 keV   2.487E+02  1.768E+02    8020 A      1601 A      1397 A   
 450.00 keV   2.687E+02  1.648E+02    9097 A      1751 A      1566 A   
 500.00 keV   2.884E+02  1.545E+02    1.02 um     1890 A      1727 A   
 550.00 keV   3.078E+02  1.457E+02    1.12 um     2018 A      1882 A   
 600.00 keV   3.267E+02  1.379E+02    1.22 um     2136 A      2030 A   
 650.00 keV   3.453E+02  1.310E+02    1.32 um     2246 A      2170 A   
 700.00 keV   3.635E+02  1.248E+02    1.42 um     2347 A      2304 A   
 800.00 keV   3.986E+02  1.143E+02    1.61 um     2535 A      2554 A   
 900.00 keV   4.323E+02  1.056E+02    1.79 um     2698 A      2781 A   
   1.00 MeV   4.646E+02  9.830E+01    1.96 um     2841 A      2988 A   
   1.10 MeV   4.958E+02  9.205E+01    2.13 um     2968 A      3177 A   
   1.20 MeV   5.259E+02  8.663E+01    2.29 um     3081 A      3351 A   
   1.30 MeV   5.552E+02  8.189E+01    2.44 um     3182 A      3511 A   
   1.40 MeV   5.837E+02  7.770E+01    2.59 um     3273 A      3659 A   
   1.50 MeV   6.117E+02  7.396E+01    2.74 um     3356 A      3797 A   
   1.60 MeV   6.391E+02  7.060E+01    2.87 um     3431 A      3924 A   
   1.70 MeV   6.660E+02  6.757E+01    3.01 um     3500 A      4044 A   
   1.80 MeV   6.926E+02  6.482E+01    3.14 um     3563 A      4155 A   
   2.00 MeV   7.449E+02  6.000E+01    3.39 um     3683 A      4358 A   
   2.25 MeV   8.090E+02  5.498E+01    3.68 um     3814 A      4579 A   
   2.50 MeV   8.722E+02  5.082E+01    3.96 um     3923 A      4771 A   
   2.75 MeV   9.347E+02  4.730E+01    4.21 um     4016 A      4939 A   
   3.00 MeV   9.967E+02  4.428E+01    4.46 um     4095 A      5088 A   
   3.25 MeV   1.058E+03  4.166E+01    4.69 um     4164 A      5220 A   
   3.50 MeV   1.119E+03  3.935E+01    4.90 um     4225 A      5338 A   
   3.75 MeV   1.180E+03  3.732E+01    5.11 um     4278 A      5445 A   
   4.00 MeV   1.240E+03  3.550E+01    5.31 um     4325 A      5541 A   
   4.50 MeV   1.358E+03  3.239E+01    5.68 um     4420 A      5709 A   
   5.00 MeV   1.473E+03  2.982E+01    6.02 um     4498 A      5850 A   
   5.50 MeV   1.586E+03  2.766E+01    6.34 um     4562 A      5970 A   
