       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 400.00 keV   1.919E+02  9.153E+01    1.28 um     2640 A      2475 A   
 450.00 keV   2.120E+02  8.475E+01    1.44 um     2847 A      2739 A   
 500.00 keV   2.318E+02  7.902E+01    1.59 um     3029 A      2983 A   
 550.00 keV   2.512E+02  7.410E+01    1.74 um     3192 A      3208 A   
 600.00 keV   2.703E+02  6.984E+01    1.88 um     3336 A      3415 A   
 650.00 keV   2.889E+02  6.609E+01    2.01 um     3466 A      3607 A   
 700.00 keV   3.072E+02  6.277E+01    2.14 um     3583 A      3784 A   
 800.00 keV   3.427E+02  5.715E+01    2.39 um     3791 A      4102 A   
 900.00 keV   3.770E+02  5.254E+01    2.62 um     3964 A      4378 A   
   1.00 MeV   4.103E+02  4.870E+01    2.83 um     4110 A      4619 A   
   1.10 MeV   4.427E+02  4.544E+01    3.04 um     4234 A      4833 A   
   1.20 MeV   4.745E+02  4.262E+01    3.23 um     4342 A      5023 A   
   1.30 MeV   5.056E+02  4.018E+01    3.41 um     4435 A      5194 A   
   1.40 MeV   5.361E+02  3.802E+01    3.58 um     4517 A      5347 A   
   1.50 MeV   5.662E+02  3.611E+01    3.75 um     4590 A      5486 A   
   1.60 MeV   5.959E+02  3.439E+01    3.91 um     4655 A      5613 A   
   1.70 MeV   6.252E+02  3.285E+01    4.06 um     4713 A      5728 A   
   1.80 MeV   6.542E+02  3.146E+01    4.20 um     4765 A      5835 A   
   2.00 MeV   7.113E+02  2.903E+01    4.48 um     4862 A      6023 A   
   2.25 MeV   7.809E+02  2.651E+01    4.79 um     4966 A      6222 A   
   2.50 MeV   8.489E+02  2.443E+01    5.09 um     5050 A      6389 A   
   2.75 MeV   9.150E+02  2.268E+01    5.36 um     5119 A      6532 A   
   3.00 MeV   9.794E+02  2.119E+01    5.61 um     5178 A      6655 A   
   3.25 MeV   1.042E+03  1.989E+01    5.85 um     5229 A      6763 A   
   3.50 MeV   1.103E+03  1.876E+01    6.08 um     5272 A      6858 A   
   3.75 MeV   1.162E+03  1.776E+01    6.29 um     5311 A      6943 A   
